step	loss	acc	lr
0	4.37315571308136	0.013004791238877482	4e-08
1	4.37126612663269	0.01208283656110048	8e-08
2	4.374831199645996	0.01270128604251002	1.2e-07
3	4.367878079414368	0.013566221812238677	1.6e-07
4	4.369164347648621	0.012491995468203537	2.0000000000000002e-07
5	4.367273330688477	0.012564358331066307	2.4e-07
6	4.365057706832886	0.013238685715997244	2.8e-07
7	4.363001823425293	0.013270227361231764	3.2e-07
8	4.360262393951416	0.013928867158235086	3.6e-07
9	4.358706474304199	0.013471565052288961	4.0000000000000003e-07
10	4.355495810508728	0.013681939839411976	4.4e-07
11	4.352197527885437	0.014014353732669215	4.8e-07
12	4.3493971824646	0.013145464412775622	5.2e-07
13	4.342292904853821	0.013915767212656863	5.6e-07
14	4.339560627937317	0.01336651825997283	6.000000000000001e-07
15	4.33381462097168	0.014255359476472173	6.4e-07
16	4.328293561935425	0.014251923710290727	6.8e-07
17	4.326679110527039	0.014298713115819576	7.2e-07
18	4.318657398223877	0.015188957868724007	7.6e-07
19	4.31713604927063	0.015164008607686583	8.000000000000001e-07
20	4.306937217712402	0.016055296066006208	8.4e-07
21	4.301998138427734	0.016009555546633476	8.8e-07
22	4.293164134025574	0.017420392281426188	9.2e-07
23	4.290853261947632	0.01801936707597085	9.6e-07
24	4.283588171005249	0.01795942720763723	1.0000000000000002e-06
25	4.2750924825668335	0.01872211279495116	1.04e-06
26	4.271367311477661	0.019155594213330934	1.08e-06
27	4.265806317329407	0.019200031966754575	1.12e-06
28	4.257348418235779	0.01950714598511087	1.16e-06
29	4.25017523765564	0.021406061086555805	1.2000000000000002e-06
30	4.24473762512207	0.021983492468065195	1.24e-06
31	4.235943555831909	0.023109622826893383	1.28e-06
32	4.230435490608215	0.023110144725161832	1.32e-06
33	4.218177080154419	0.02631736826317368	1.36e-06
34	4.218016743659973	0.025484848484848485	1.4000000000000001e-06
35	4.21113646030426	0.028215949793967694	1.44e-06
36	4.202352046966553	0.02903568204588967	1.4800000000000002e-06
37	4.195659637451172	0.031222397554609423	1.52e-06
38	4.191944718360901	0.030315085932527054	1.56e-06
39	4.184027075767517	0.031898132091364016	1.6000000000000001e-06
40	4.186882972717285	0.03215159167279741	1.6400000000000002e-06
41	4.166946291923523	0.034741690028033644	1.68e-06
42	4.173025727272034	0.0339262516238633	1.72e-06
43	4.164755463600159	0.0342119355030642	1.76e-06
44	4.153745174407959	0.03692301561207919	1.8e-06
45	4.148825764656067	0.03625443734028061	1.84e-06
46	4.1487191915512085	0.03672282510941903	1.8800000000000002e-06
47	4.1329240798950195	0.03840045035083134	1.92e-06
48	4.139059662818909	0.035725294065007504	1.96e-06
49	4.131802797317505	0.03792036722881948	2.0000000000000003e-06
50	4.1187983751297	0.04059724211137704	2.0400000000000004e-06
51	4.119493842124939	0.03827204640721537	2.08e-06
52	4.118695139884949	0.038790713616064676	2.12e-06
53	4.109385967254639	0.040570327859086125	2.16e-06
54	4.107389450073242	0.04199736447676816	2.2e-06
55	4.1011306047439575	0.04092183492076117	2.24e-06
56	4.093383431434631	0.04188882729425994	2.28e-06
57	4.0970553159713745	0.04102451049161272	2.32e-06
58	4.0841304063797	0.04576142537551933	2.36e-06
59	4.0813435316085815	0.04691610495071129	2.4000000000000003e-06
60	4.084203600883484	0.043845847440748854	2.4400000000000004e-06
61	4.0695273876190186	0.047961535008528934	2.48e-06
62	4.079359531402588	0.04197018380665376	2.52e-06
63	4.076232314109802	0.044189787293562856	2.56e-06
64	4.068140625953674	0.04718452035900614	2.6e-06
65	4.072870373725891	0.043736899890208604	2.64e-06
66	4.068559288978577	0.04612585078468236	2.68e-06
67	4.062979578971863	0.04644535546445355	2.72e-06
68	4.062279462814331	0.046401111166228484	2.7600000000000003e-06
69	4.057628750801086	0.04950227060840275	2.8000000000000003e-06
70	4.054417252540588	0.04861540918801286	2.8400000000000003e-06
71	4.0544655323028564	0.047665049945721995	2.88e-06
72	4.052862524986267	0.049934335903942806	2.92e-06
73	4.047599196434021	0.05243016453564275	2.9600000000000005e-06
74	4.046602249145508	0.05039671025643591	3e-06
